#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,autorandr,"auto arrange monitors"
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
A,neovim-nightly-bin,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,blueman,"bluetooth controller"
,bluez,"bluetooth"
,bluez-utils,"bluetooth"
,docker,"container engine"
,docker-compose,"docker container management"
,exa,"like ls but better"
,flameshot,"screenshots"
,peek,"screenshots"
,linux-firmware,"linux"
,linux-headers,"linux"
,nvidia,"nvidia"
,nvidia-utils,"nvidia"
,redshift,"redshift"
,simple-scan,"scanner gui"
,tmux,"tmux"
,tree-siter,"tmux"
,playerctl,"player controller"
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,insomnia,"request tool."
A,libsane-dsseries,"scanner driver."
A,libxft-bgra-git,"libxft"
A,masterpassword-cli,"Master Password CLI"
A,mellowplayer,"Mellow Player"
A,minetime-bin,"Minetime"
A,nerd-fonts-source-code-pro,"font"
A,nerd-fonts-fira-code,"font"
A,openrazer-daemon,"Razer
A,openrazer-driver-dkms,"Razer"
A,openrazer-meta,"Razer"
A,python-openrazer,"Razer"
A,polychromatic,"Razer tool"
A,pspg,"PG pager"
A,rambox-pro-bin,"Rambox pro"
A,superproductivity-bin,"Super productivity"
G,https://github.com/conradob/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/conradob/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/conradob/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/conradob/dwm.git,"is the window manager."
G,https://github.com/conradob/slock.git,"allows you to lock your computer, and quickly unlock with your password."
